family,model,val_mae,test_mae
baseline,train_mean,0.9778385005924122,2.6343664098712893
baseline,previous_year,1.1631337419140724,2.840887284231374
retrieval,cosine|joint|k=1|uniform,1.2974309634385581,2.4278143645199677
retrieval,cosine|joint|k=2|uniform,1.1670918260684426,2.4207156445161973
retrieval,cosine|joint|k=2|inverse,1.1792172659355138,2.417580768384408
retrieval,cosine|joint|k=2|inverse_sq,1.189768420755522,2.417675999413768
retrieval,cosine|joint|k=3|uniform,1.1633700839348526,2.4688461910294377
retrieval,cosine|joint|k=3|inverse,1.1764632029940414,2.4507104596494473
retrieval,cosine|joint|k=3|inverse_sq,1.1897482861550805,2.437837665246414
retrieval,cosine|joint|k=5|uniform,1.009735097394024,2.4844748066611957
retrieval,cosine|joint|k=5|inverse,1.052803082515496,2.4652367818962433
retrieval,cosine|joint|k=5|inverse_sq,1.0978918415399623,2.44901284727392
retrieval,cosine|joint|k=8|uniform,1.053979370705192,2.5486981501536308
retrieval,cosine|joint|k=8|inverse,1.0620610793427692,2.517591103055339
retrieval,cosine|joint|k=8|inverse_sq,1.10580738676493,2.485660074713545
retrieval,cosine|joint|k=2|softmax@0.05,1.165867328898661,2.420278394772896
retrieval,cosine|joint|k=3|softmax@0.05,1.1604361237781962,2.4626478510667416
retrieval,cosine|joint|k=5|softmax@0.05,1.028876947143805,2.4744839876165607
retrieval,cosine|joint|k=8|softmax@0.05,1.038607333165938,2.5318758331195563
retrieval,cosine|joint|k=2|softmax@0.1,1.1664763981476747,2.420496920949267
retrieval,cosine|joint|k=3|softmax@0.1,1.161821401472062,2.4657453578103437
retrieval,cosine|joint|k=5|softmax@0.1,1.020090186775874,2.479111533500216
retrieval,cosine|joint|k=8|softmax@0.1,1.035410750978523,2.5406295782979544
retrieval,cosine|joint|k=2|softmax@0.2,1.1667837132141907,2.420606270388017
retrieval,cosine|joint|k=3|softmax@0.2,1.1625868072440713,2.4672924659719335
retrieval,cosine|joint|k=5|softmax@0.2,1.015041787458491,2.4816944597634114
retrieval,cosine|joint|k=8|softmax@0.2,1.0449203377333816,2.544784417395314
retrieval,cosine|joint|k=2|softmax@0.5,1.1669685362081414,2.420671893482093
retrieval,cosine|joint|k=3|softmax@0.5,1.1630564331312065,2.4682234548663273
retrieval,cosine|joint|k=5|softmax@0.5,1.0118781918300002,2.483360732842715
retrieval,cosine|joint|k=8|softmax@0.5,1.05042072799712,2.5471644168943626
retrieval,cosine|joint|k=2|softmax@1.0,1.1670301779433472,2.420693768900368
retrieval,cosine|joint|k=3|softmax@1.0,1.163213359827732,2.4685345757522867
retrieval,cosine|joint|k=5|softmax@1.0,1.01080914066164,2.483917696882587
retrieval,cosine|joint|k=8|softmax@1.0,1.0522115048345664,2.5479367437965017
retrieval,cosine|image|k=1|uniform,1.6167647289253892,2.4689377203574168
retrieval,cosine|image|k=2|uniform,1.5454271704825593,2.838228035181293
retrieval,cosine|image|k=2|inverse,1.5334582503443481,2.7595064028318013
retrieval,cosine|image|k=2|inverse_sq,1.5241829484780764,2.7196011998122422
retrieval,cosine|image|k=3|uniform,1.4461629859098635,2.7800338862281566
retrieval,cosine|image|k=3|inverse,1.4606465879047574,2.754568869144946
retrieval,cosine|image|k=3|inverse_sq,1.4697379405301871,2.724201631223221
retrieval,cosine|image|k=5|uniform,1.3242841528353722,2.725255350778055
retrieval,cosine|image|k=5|inverse,1.374174397330549,2.7105055719396
retrieval,cosine|image|k=5|inverse_sq,1.4033935316590433,2.699038545305072
retrieval,cosine|image|k=8|uniform,1.0685356516742357,2.6581027645612885
retrieval,cosine|image|k=8|inverse,1.208684594628766,2.6704262846914015
retrieval,cosine|image|k=8|inverse_sq,1.313871454885444,2.6751498299040493
retrieval,cosine|image|k=2|softmax@0.05,1.5436266393100917,2.835908803587311
retrieval,cosine|image|k=3|softmax@0.05,1.4449756876714288,2.7794422083238373
retrieval,cosine|image|k=5|softmax@0.05,1.3252979412902672,2.723907383456362
retrieval,cosine|image|k=8|softmax@0.05,1.0791551051057646,2.6580934281287067
retrieval,cosine|image|k=2|softmax@0.1,1.5445265358121831,2.837068276855215
retrieval,cosine|image|k=3|softmax@0.1,1.4455713634720628,2.7797434180989584
retrieval,cosine|image|k=5|softmax@0.1,1.3248021039548372,2.7245852742927603
retrieval,cosine|image|k=8|softmax@0.1,1.0738807026990413,2.658111757674896
retrieval,cosine|image|k=2|softmax@0.2,1.5449768069820708,2.837648138195667
retrieval,cosine|image|k=3|softmax@0.2,1.4458677251078034,2.7798900119440493
retrieval,cosine|image|k=5|softmax@0.2,1.324545993301524,2.7249212885949756
retrieval,cosine|image|k=8|softmax@0.2,1.0712135064609773,2.6581113499934355
retrieval,cosine|image|k=2|softmax@0.5,1.5452470199109956,2.837996074390728
retrieval,cosine|image|k=3|softmax@0.5,1.4460450192896217,2.77997666499086
retrieval,cosine|image|k=5|softmax@0.5,1.3243895879429117,2.7251219599654024
retrieval,cosine|image|k=8|softmax@0.5,1.0696076007531834,2.658107269828073
retrieval,cosine|image|k=2|softmax@1.0,1.5453370948273788,2.8381120546434135
retrieval,cosine|image|k=3|softmax@1.0,1.446104026016452,2.7800053305305936
retrieval,cosine|image|k=5|softmax@1.0,1.3243369877547635,2.725188694361781
retrieval,cosine|image|k=8|softmax@1.0,1.0690717208115277,2.6581052032656713
retrieval,euclidean|joint|k=1|uniform,1.2149857108682143,2.494710656655773
retrieval,euclidean|joint|k=2|uniform,1.1168364275642844,2.367179508480495
retrieval,euclidean|joint|k=2|inverse,1.1267953224744844,2.37134846978531
retrieval,euclidean|joint|k=2|inverse_sq,1.1365635342811462,2.375458458022029
retrieval,euclidean|joint|k=3|uniform,1.1498436160067662,2.431090631087059
retrieval,euclidean|joint|k=3|inverse,1.159484224968819,2.4279876034939973
retrieval,euclidean|joint|k=3|inverse_sq,1.1693990830182455,2.4271068434014915
retrieval,euclidean|joint|k=5|uniform,0.9927354807191252,2.483279664756216
retrieval,euclidean|joint|k=5|inverse,1.0128738331903275,2.4689664695541516
retrieval,euclidean|joint|k=5|inverse_sq,1.0350268240136384,2.457321396993704
retrieval,euclidean|joint|k=8|uniform,1.0454826740395549,2.505919437529888
retrieval,euclidean|joint|k=8|inverse,1.0417924795680762,2.491379737293561
retrieval,euclidean|joint|k=8|inverse_sq,1.0424049971860385,2.476655308585218
retrieval,euclidean|joint|k=2|softmax@0.05,1.1238349880198255,2.3725001825979484
retrieval,euclidean|joint|k=3|softmax@0.05,1.1560315712397067,2.4268844263055875
retrieval,euclidean|joint|k=5|softmax@0.05,1.0169623745592442,2.4616844809547773
retrieval,euclidean|joint|k=8|softmax@0.05,1.0339109585920647,2.4813159674797354
retrieval,euclidean|joint|k=2|softmax@0.1,1.1203255517334978,2.369848256288128
retrieval,euclidean|joint|k=3|softmax@0.1,1.1528281116893255,2.428889767965292
retrieval,euclidean|joint|k=5|softmax@0.1,1.0046523871167266,2.4718284124101038
retrieval,euclidean|joint|k=8|softmax@0.1,1.0305012401324216,2.4939498962046276
retrieval,euclidean|joint|k=2|softmax@0.2,1.1185796812900133,2.3685149407240007
retrieval,euclidean|joint|k=3|softmax@0.2,1.1513152238354745,2.429961494235181
retrieval,euclidean|joint|k=5|softmax@0.2,0.9986013986660517,2.477428727757501
retrieval,euclidean|joint|k=8|softmax@0.2,1.0382209658871446,2.500090927770565
retrieval,euclidean|joint|k=2|softmax@0.5,1.1175335813874758,2.367713800114056
retrieval,euclidean|joint|k=3|softmax@0.5,1.150428475750347,2.4306314734467
retrieval,euclidean|joint|k=5|softmax@0.5,0.9950549938794737,2.4809143463909624
retrieval,euclidean|joint|k=8|softmax@0.5,1.0426418231263492,2.503632501224684
retrieval,euclidean|joint|k=2|softmax@1.0,1.1171849939079588,2.367446662782046
retrieval,euclidean|joint|k=3|softmax@1.0,1.1501355197944103,2.4308597504988634
retrieval,euclidean|joint|k=5|softmax@1.0,0.993890438383307,2.4820932733178926
retrieval,euclidean|joint|k=8|softmax@1.0,1.0440733827339237,2.5047838546105567
retrieval,euclidean|image|k=1|uniform,1.6987068633078883,2.4846418097483514
retrieval,euclidean|image|k=2|uniform,1.4466395563967587,2.795908470285073
retrieval,euclidean|image|k=2|inverse,1.456281700508117,2.7475369907764886
retrieval,euclidean|image|k=2|inverse_sq,1.4657482078675694,2.704138467544722
retrieval,euclidean|image|k=3|uniform,1.418263424164363,2.7467331801144477
retrieval,euclidean|image|k=3|inverse,1.4342957568424977,2.729748416664015
retrieval,euclidean|image|k=3|inverse_sq,1.4513280813726088,2.7102478869517803
retrieval,euclidean|image|k=5|uniform,1.3570868948758459,2.726103045983262
retrieval,euclidean|image|k=5|inverse,1.377756744475963,2.7237312931303466
retrieval,euclidean|image|k=5|inverse_sq,1.397119884765786,2.7146668355283556
retrieval,euclidean|image|k=8|uniform,1.084093112683139,2.6182697513108044
retrieval,euclidean|image|k=8|inverse,1.1572927636802688,2.6351258282070735
retrieval,euclidean|image|k=8|inverse_sq,1.248655434433021,2.6460673246839863
