model,cv_mae,val_mae,test_mae
euclidean|joint|k=8|uniform,1.1330148102359157,1.0454826740395549,2.505919437529888
euclidean|joint|k=8|softmax@1.0,1.1343307580053923,1.0440733827339237,2.5047838546105567
euclidean|joint|k=8|softmax@0.5,1.1356488081907052,1.0426418231263492,2.503632501224684
euclidean|joint|k=8|softmax@0.2,1.139613133598026,1.0382209658871446,2.500090927770565
euclidean|joint|k=8|softmax@0.1,1.146239117307972,1.0305012401324216,2.4939498962046276
euclidean|joint|k=8|inverse,1.1498652832099001,1.0417924795680762,2.491379737293561
cosine|joint|k=8|uniform,1.1508910300013535,1.053979370705192,2.5486981501536308
cosine|joint|k=8|softmax@1.0,1.1517463454743933,1.0522115048345664,2.5479367437965017
cosine|joint|k=8|softmax@0.5,1.1526025821151107,1.05042072799712,2.5471644168943626
cosine|joint|k=8|softmax@0.2,1.1551761661142699,1.0449203377333816,2.544784417395314
cosine|joint|k=8|softmax@0.1,1.1594779180764505,1.035410750978523,2.5406295782979544
euclidean|joint|k=8|softmax@0.05,1.1602676677979005,1.0339109585920647,2.4813159674797354
cosine|joint|k=8|softmax@0.05,1.1681019031304944,1.038607333165938,2.5318758331195563
euclidean|joint|k=8|inverse_sq,1.1717001107422516,1.0424049971860385,2.476655308585218
cosine|joint|k=8|inverse,1.1921736576119566,1.0620610793427692,2.517591103055339
euclidean|joint|k=5|uniform,1.1954445342979565,0.9927354807191252,2.483279664756216
euclidean|joint|k=5|softmax@1.0,1.1961362019551558,0.993890438383307,2.4820932733178926
euclidean|joint|k=5|softmax@0.5,1.1968347740316556,0.9950549938794737,2.4809143463909624
euclidean|joint|k=5|softmax@0.2,1.198972508978229,0.9986013986660517,2.477428727757501
euclidean|joint|k=5|softmax@0.1,1.2026784641294324,1.0046523871167266,2.4718284124101038
euclidean|joint|k=5|inverse,1.2065711345987273,1.0128738331903275,2.4689664695541516
euclidean|joint|k=5|softmax@0.05,1.210639270314563,1.0169623745592442,2.4616844809547773
cosine|image|k=8|uniform,1.211609951500244,1.0685356516742357,2.6581027645612885
cosine|image|k=8|softmax@1.0,1.2119735810303105,1.0690717208115277,2.6581052032656713
cosine|image|k=8|softmax@0.5,1.2123348237229792,1.0696076007531834,2.658107269828073
cosine|image|k=8|softmax@0.2,1.2134041063170564,1.0712135064609773,2.6581113499934355
cosine|image|k=8|softmax@0.1,1.2151374257959537,1.0738807026990413,2.658111757674896
euclidean|image|k=8|uniform,1.2178319748972886,1.084093112683139,2.6182697513108044
euclidean|image|k=8|softmax@1.0,1.2183459751565593,1.086047930510789,2.618687542348227
cosine|image|k=8|softmax@0.05,1.2184171267169528,1.0791551051057646,2.6580934281287067
euclidean|image|k=8|softmax@0.5,1.2189114732274706,1.0880198527111133,2.6191019687783395
cosine|joint|k=5|uniform,1.2189662128529115,1.009735097394024,2.4844748066611957
cosine|joint|k=5|softmax@1.0,1.2194027579166653,1.01080914066164,2.483917696882587
euclidean|joint|k=5|inverse_sq,1.2197896890400568,1.0350268240136384,2.457321396993704
cosine|joint|k=5|softmax@0.5,1.2198400090668902,1.0118781918300002,2.483360732842715
euclidean|image|k=8|softmax@0.2,1.220548322575189,1.0940341295097862,2.620324782077943
cosine|joint|k=5|softmax@0.2,1.2211559869098514,1.015041787458491,2.4816944597634114
euclidean|image|k=8|softmax@0.1,1.2229147742373565,1.1043589577317812,2.6222931812365666
cosine|joint|k=5|softmax@0.1,1.2233635270205752,1.020090186775874,2.479111533500216
cosine|joint|k=5|softmax@0.05,1.2278366101237668,1.028876947143805,2.4744839876165607
euclidean|image|k=8|softmax@0.05,1.2292827813903804,1.126969863815129,2.6259601578095575
cosine|joint|k=8|inverse_sq,1.2349745357550497,1.10580738676493,2.485660074713545
