model,val_mae,test_mae
cosine|k=1|uniform,1.2974309634385581,2.4278143645199677
cosine|k=2|uniform,1.1670918260684426,2.4207156445161973
cosine|k=2|inverse,1.1792172659355138,2.417580768384408
cosine|k=2|inverse_sq,1.189768420755522,2.417675999413768
cosine|k=2|softmax@0.02,1.1641392677087106,2.4196259604583537
cosine|k=2|softmax@0.05,1.1658673288986605,2.420278394772896
cosine|k=2|softmax@0.1,1.1664763981476747,2.420496920949267
cosine|k=2|softmax@0.2,1.1667837132141907,2.420606270388017
cosine|k=2|softmax@0.5,1.1669685362081414,2.420671893482093
cosine|k=2|softmax@1.0,1.167030177943347,2.4206937689003674
cosine|k=3|uniform,1.1633700839348526,2.4688461910294377
cosine|k=3|inverse,1.1764632029940414,2.4507104596494473
cosine|k=3|inverse_sq,1.1897482861550805,2.437837665246414
cosine|k=3|softmax@0.02,1.1578245560814169,2.453245674054041
cosine|k=3|softmax@0.05,1.160436123778196,2.4626478510667416
cosine|k=3|softmax@0.1,1.1618214014720618,2.4657453578103437
cosine|k=3|softmax@0.2,1.1625868072440713,2.467292465971933
cosine|k=3|softmax@0.5,1.163056433131206,2.4682234548663273
cosine|k=3|softmax@1.0,1.1632133598277323,2.4685345757522867
cosine|k=5|uniform,1.009735097394024,2.4844748066611957
cosine|k=5|inverse,1.052803082515496,2.4652367818962433
cosine|k=5|inverse_sq,1.0978918415399623,2.44901284727392
cosine|k=5|softmax@0.02,1.044314659032034,2.4636317771709777
cosine|k=5|softmax@0.05,1.0288769471438053,2.4744839876165607
cosine|k=5|softmax@0.1,1.0200901867758743,2.479111533500216
cosine|k=5|softmax@0.2,1.015041787458491,2.481694459763412
cosine|k=5|softmax@0.5,1.0118781918299997,2.483360732842715
cosine|k=5|softmax@1.0,1.0108091406616402,2.483917696882587
cosine|k=8|uniform,1.053979370705192,2.5486981501536308
cosine|k=8|inverse,1.0620610793427692,2.517591103055339
cosine|k=8|inverse_sq,1.10580738676493,2.485660074713545
cosine|k=8|softmax@0.02,1.0444533787046257,2.5081576043042815
cosine|k=8|softmax@0.05,1.0386073331659382,2.5318758331195563
cosine|k=8|softmax@0.1,1.035410750978523,2.5406295782979544
cosine|k=8|softmax@0.2,1.0449203377333816,2.544784417395314
cosine|k=8|softmax@0.5,1.0504207279971205,2.5471644168943626
cosine|k=8|softmax@1.0,1.0522115048345662,2.5479367437965017
euclidean|k=1|uniform,1.2149857108682143,2.494710656655773
euclidean|k=2|uniform,1.1168364275642844,2.367179508480495
euclidean|k=2|inverse,1.1267953224744844,2.37134846978531
euclidean|k=2|inverse_sq,1.1365635342811462,2.375458458022029
euclidean|k=2|softmax@0.02,1.1346247749799498,2.3801987873725285
euclidean|k=2|softmax@0.05,1.1238349880198257,2.372500182597949
euclidean|k=2|softmax@0.1,1.1203255517334978,2.369848256288128
euclidean|k=2|softmax@0.2,1.118579681290013,2.368514940724001
euclidean|k=2|softmax@0.5,1.1175335813874758,2.367713800114056
euclidean|k=2|softmax@1.0,1.1171849939079588,2.367446662782046
euclidean|k=3|uniform,1.1498436160067662,2.431090631087059
euclidean|k=3|inverse,1.159484224968819,2.4279876034939973
euclidean|k=3|inverse_sq,1.1693990830182455,2.4271068434014915
euclidean|k=3|softmax@0.02,1.1668752823429964,2.4264372177461566
euclidean|k=3|softmax@0.05,1.1560315712397067,2.4268844263055875
euclidean|k=3|softmax@0.1,1.1528281116893255,2.4288897679652925
euclidean|k=3|softmax@0.2,1.1513152238354742,2.429961494235181
euclidean|k=3|softmax@0.5,1.150428475750347,2.4306314734467
euclidean|k=3|softmax@1.0,1.1501355197944103,2.430859750498863
euclidean|k=5|uniform,0.9927354807191252,2.483279664756216
euclidean|k=5|inverse,1.0128738331903275,2.4689664695541516
euclidean|k=5|inverse_sq,1.0350268240136384,2.457321396993704
euclidean|k=5|softmax@0.02,1.0515861292705766,2.4421656170684023
euclidean|k=5|softmax@0.05,1.0169623745592442,2.4616844809547778
euclidean|k=5|softmax@0.1,1.0046523871167268,2.4718284124101038
euclidean|k=5|softmax@0.2,0.9986013986660512,2.477428727757501
euclidean|k=5|softmax@0.5,0.9950549938794736,2.4809143463909615
euclidean|k=5|softmax@1.0,0.9938904383833072,2.482093273317893
euclidean|k=8|uniform,1.0454826740395549,2.505919437529888
euclidean|k=8|inverse,1.0417924795680762,2.491379737293561
euclidean|k=8|inverse_sq,1.0424049971860385,2.476655308585218
euclidean|k=8|softmax@0.02,1.0496613248322517,2.4517298785239117
euclidean|k=8|softmax@0.05,1.0339109585920652,2.481315967479736
euclidean|k=8|softmax@0.1,1.0305012401324218,2.4939498962046276
euclidean|k=8|softmax@0.2,1.0382209658871446,2.500090927770565
euclidean|k=8|softmax@0.5,1.0426418231263488,2.503632501224684
euclidean|k=8|softmax@1.0,1.0440733827339237,2.5047838546105567
manhattan|k=1|uniform,1.319887007202542,2.5773884758561385
manhattan|k=2|uniform,1.0711978895888818,2.4701121970062174
manhattan|k=2|inverse,1.0937876589010507,2.4732519184981347
manhattan|k=2|inverse_sq,1.1144631637736697,2.4762321175906856
