metro,year,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
atlanta,2013,-0.4171032,0.89668816,2.5173726,-2.396236,-0.6391261,1.0497632,3.1552832,-0.58378696,-2.5915334,-0.119962394,-1.3142976,2.0876281,-0.86244154,1.1091161,0.66254103,-1.2737342,1.7938145,-0.54900265,-2.1378078,-1.109257,2.4085376,1.695302,0.4627472,1.5484478,-2.2538493,-2.031653,-0.26268026,1.6210003,1.3887646,0.025730073,0.2587862,1.5949436
atlanta,2014,-0.05263353,1.0082434,1.7235991,-1.6198332,-1.6803916,-0.16603324,2.2048602,-0.047355123,-1.1800234,0.14753461,-0.9935047,0.9650456,-1.0686021,0.58729684,-0.5427941,-1.4763018,1.6518624,0.5911933,-0.5494578,-1.3739755,1.0603225,0.876861,0.5497253,1.7764578,-0.8244205,-0.020896956,-0.17512283,0.68648124,1.1803669,0.42315987,1.1218339,0.6067847
atlanta,2015,0.14138919,1.1145442,1.4733523,-1.2195239,-1.4941055,-0.40611637,1.6816088,0.005027406,-0.58460116,0.5654354,-0.76180124,0.74809533,-1.0775892,0.67869407,-0.1940798,-1.2181349,1.0017576,0.74606663,-0.27884394,-1.1315334,0.9305575,0.61926913,0.3962215,1.4194493,-0.121212795,0.21092884,-0.11533821,0.9227833,1.19453,0.1752662,1.1238223,0.2471354
atlanta,2016,0.7236754,1.1191064,1.4056778,0.02922626,-2.6441572,-1.0983746,1.4177693,0.9981147,-0.88469446,-0.46590632,0.62270087,0.22434527,-0.6859857,0.2688916,-0.8757001,-0.082758576,1.5406833,0.7319333,-0.09676411,-1.6300409,-0.1944783,-0.24454725,0.82001644,0.9813098,-0.31978858,1.3432839,-0.8125229,-0.08962067,0.49126694,2.175879,0.9118012,1.3926276
atlanta,2017,0.79187614,1.2869492,1.3358628,0.16402906,-2.4649122,-1.0938581,1.0565687,1.1451554,-0.75779057,-0.42779222,0.8733217,0.14689049,-0.6065003,0.30857906,-0.5713778,0.13786727,1.27806,0.6236562,-0.085755624,-1.5132589,-0.045831002,-0.31809095,0.85937214,0.75695395,-0.20824377,1.1922287,-0.6924271,0.07506304,0.6270211,2.2240224,0.7271602,1.2332126
atlanta,2018,0.69269454,1.292043,1.4865509,-0.33754006,-1.0999203,-0.7160731,0.5962791,0.39565977,0.36912736,0.5627228,0.21322466,0.62664515,-0.8319333,1.0080956,0.76440835,0.026546776,-0.19026771,0.537816,-0.5212449,-0.8963575,1.162497,-0.07570628,0.23908815,0.30251446,0.3785622,-0.02403061,-0.2208075,1.4203066,1.2989464,0.57999325,0.59191966,0.4745778
atlanta,2019,0.7338782,1.3830838,1.5690272,-0.25085145,-1.1334834,-0.8884058,0.53667754,0.43930557,0.5530928,0.7080487,0.33564788,0.6258252,-0.86631024,1.19703,0.8184749,0.18365933,-0.3483761,0.59377897,-0.4617033,-0.89755577,1.1398749,-0.1753932,0.15986493,0.23340958,0.5562117,0.09476037,-0.24265116,1.5243907,1.3463141,0.6453204,0.6508194,0.5688853
atlanta,2021,0.6500203,1.3872302,2.015658,-0.76704806,-0.9021173,-0.64678687,1.1489886,0.10871073,0.27552733,0.96732825,-0.17730303,1.0659571,-1.2779089,1.6034536,1.1542305,-0.14940904,-0.5287937,0.4915294,-0.8498151,-0.91206664,1.5120169,0.09927789,-0.15130642,0.39312175,0.21919845,-0.26816976,-0.39592904,1.9171865,1.468504,0.2178536,0.84933436,0.6879002
atlanta,2022,0.9791788,1.8409111,1.5946503,0.1668774,-1.5705727,-1.4003341,0.33519202,0.9191074,0.5141293,0.60947514,1.0190144,0.39640653,-0.9062354,1.2422594,0.59830844,0.6705062,-0.21047729,0.74827766,-0.2105208,-1.0961869,0.67082167,-0.505436,0.20495132,0.1844835,0.6608088,0.68164885,-0.32584435,1.2293813,1.3293685,1.3335819,0.7668595,0.91467
atlanta,2023,1.0921334,1.8145597,2.2357583,-0.13047932,-1.1341491,-1.1591109,0.44539112,0.55585533,0.4652411,-0.026630223,0.86489916,0.74465114,-0.79992014,1.6119007,1.5561962,1.2460084,-0.47294563,0.18873683,-1.1721506,-0.9624799,1.3158875,-0.80606693,0.03776618,-0.262355,0.18816943,-0.52723247,-0.36134434,1.5582509,1.3466192,1.066023,0.37487262,1.208932
