year,metro,gdp_millions,unemployment_rate,employment_thousands,total_permits,interpolated
2013,atlanta,327702.9,7.7,2571.7,24297.0,False
2014,atlanta,342813.3,6.8,2615.0,26683.0,False
2015,atlanta,360900.7,5.8,2652.8,30342.0,False
2016,atlanta,380028.9,5.2,2781.9,36357.0,False
2017,atlanta,398208.5,4.6,2914.7,33832.0,False
2018,atlanta,413034.1,3.8,2957.9,39441.0,False
2019,atlanta,429686.2,3.4,2997.5,32836.0,False
2020,atlanta,415593.5,6.8,2855.9,32346.0,False
2021,atlanta,445368.1,3.9,3002.3,39466.0,False
2022,atlanta,465257.3,3.0,3090.2,48501.0,False
2023,atlanta,471540.0,3.2,3153.5,38639.0,False
2013,austin,113901.7,5.2,961.3,20852.0,False
2014,austin,120357.5,4.3,999.1,20276.0,False
2015,austin,129623.3,3.4,1032.2,22370.0,False
2016,austin,135022.5,3.3,1066.2,21861.0,False
2017,austin,141102.9,3.2,1104.7,26700.0,False
2018,austin,149306.1,3.0,1146.5,30035.0,False
2019,austin,159055.7,2.8,1186.9,32037.0,False
2020,austin,164257.7,6.3,1156.7,42264.0,False
2021,austin,182249.0,4.1,1255.3,50907.0,False
2022,austin,198966.5,3.0,1351.6,42362.0,False
2023,austin,209210.2,3.5,1406.6,38773.0,False
2013,charlotte,140151.8,7.7,1053.2,,True
2014,charlotte,144692.5,6.0,1085.4,18537.0,False
2015,charlotte,150775.5,5.4,1119.0,19543.0,False
2016,charlotte,155409.3,4.8,1150.8,20574.0,False
2017,charlotte,161179.5,4.3,1187.0,22869.0,False
2018,charlotte,164359.3,3.8,1214.3,26209.0,False
2019,charlotte,169895.2,3.6,1247.2,24637.0,False
2020,charlotte,171198.7,7.2,1186.1,26548.0,False
2021,charlotte,182426.5,4.7,1242.3,30126.0,False
2022,charlotte,190401.1,3.5,1320.0,27212.0,False
2023,charlotte,200472.4,3.4,1352.7,29419.0,False
2013,dallas,421040.0,6.2,3221.8,37910.0,False
2014,dallas,436761.9,5.1,3319.5,43752.0,False
2015,dallas,457628.5,4.1,3397.9,57146.0,False
2016,dallas,468230.2,3.9,3506.0,55800.0,False
2017,dallas,484938.4,3.7,3605.8,62524.0,False
2018,dallas,507522.4,3.6,3689.4,63893.0,False
2019,dallas,527388.4,3.3,3776.8,62708.0,False
2020,dallas,523527.0,7.1,3657.2,60812.0,False
2021,dallas,567181.1,5.1,3875.7,78705.0,False
2022,dallas,596261.4,3.6,4090.4,77927.0,False
2023,dallas,622787.0,3.8,4219.3,68029.0,False
2013,denver,195455.0,6.4,1524.1,15475.0,False
2014,denver,204078.5,4.7,1573.8,15767.0,False
