metro,year,kl,recon_img_err,recon_econ_err,anomaly_score,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
atlanta,2013,0.09647062420845032,0.4633978605270386,1.8969128131866455,2.4567811489105225,0.089948446,-0.015980843,-0.019214131,0.016804986,-0.2096027,0.0038236752,-0.15833345,0.13039763,0.08319111,-0.050829586,0.12366642,0.030556787,0.060943305,0.042462863,0.09188728,0.09345156
atlanta,2014,0.09011608362197876,0.585290789604187,0.97369384765625,1.6491007804870605,0.032641836,-0.01583229,0.0080430135,-0.005979635,-0.20456617,-0.01078406,-0.2011868,0.11793186,0.025887894,-0.03798497,0.084666885,-0.009474552,0.0763624,-0.03447029,0.10726703,0.08493368
atlanta,2015,0.09752523899078369,0.5697577595710754,0.9592156410217285,1.6264985799789429,0.030593958,-0.014752074,0.030176163,-0.018255591,-0.22283512,-0.03438253,-0.2209313,0.107757874,0.015435846,-0.034706034,0.08412441,-0.0029524805,0.10203044,-0.016579248,0.105141364,0.0848788
atlanta,2016,0.09407612681388855,0.4805724322795868,1.4174491167068481,1.9920977354049683,-0.014638566,-0.0129433125,0.02143851,-0.015192017,-0.21935375,-0.012360528,-0.21272187,0.078773886,0.00724668,-0.020609764,0.08855121,0.0062889266,0.10113479,-0.047728524,0.10735526,0.07351109
atlanta,2017,0.09542888402938843,0.5361769199371338,1.3168234825134277,1.9484293460845947,-0.007367446,-0.0021025576,0.027964354,-0.004662581,-0.21453626,-0.018468477,-0.21902242,0.08667968,-0.00036356974,-0.023910012,0.094421625,0.008701975,0.10488118,-0.034997232,0.11718685,0.062389046
atlanta,2018,0.09636807441711426,0.48745885491371155,0.9800629019737244,1.5638898611068726,0.032232426,-0.0018719174,0.017783858,0.007534489,-0.21380045,-0.032370917,-0.21320829,0.08727068,-0.012397676,-0.05241658,0.09013177,-0.0016268863,0.10146514,-0.013084225,0.13330978,0.048042804
atlanta,2019,0.10251301527023315,0.7971097826957703,1.1812970638275146,2.0809199810028076,0.030154228,-0.009719579,0.03626257,0.0030102506,-0.22928141,-0.04840219,-0.22806026,0.07394484,-0.020634282,-0.05345692,0.09027839,-0.0057913465,0.11443456,-0.01136186,0.12837444,0.049572833
atlanta,2021,0.0963711142539978,1.4611907005310059,1.579205870628357,3.136767864227295,0.034457978,-0.018642675,0.042091325,-0.024590977,-0.22858301,-0.040137604,-0.20925613,0.09698473,0.013652763,-0.04313583,0.07708158,0.010574774,0.11682804,-0.006979339,0.103804484,0.08165477
atlanta,2022,0.10537835955619812,0.504920244216919,1.5779287815093994,2.188227415084839,-0.024430484,-0.018881964,0.062210567,-0.041420646,-0.25177315,-0.043506056,-0.21299255,0.032550268,-0.0049920892,-0.01999693,0.07045424,-0.0001605578,0.109864436,-0.03895432,0.1224715,0.07433891
atlanta,2023,0.09359937906265259,0.92564857006073,1.6491210460662842,2.6683688163757324,0.056357004,-0.02130378,0.0189967,0.014611274,-0.20988427,-0.034592137,-0.19899298,0.10115964,-0.006661698,-0.068032734,0.101321,-0.005054029,0.09788474,-0.027954567,0.12357539,0.047050957
austin,2013,0.08553102612495422,0.38338518142700195,1.1800129413604736,1.6489291191101074,0.046677683,-0.038140774,-0.028230097,0.01676283,-0.20733264,0.012958527,-0.13342455,0.123161145,0.044275265,-0.03641758,0.12301547,0.048410676,0.044601534,-0.008226529,0.13567655,0.10076833
austin,2014,0.08368903398513794,0.48487651348114014,0.4568236172199249,1.0253891944885254,0.006919173,-0.053741436,0.021548778,-0.031720445,-0.21368715,0.00878555,-0.15007533,0.06893037,0.043928336,-0.046543136,0.07154858,-0.010194062,0.0655324,-0.09547406,0.09645106,0.08314018
austin,2015,0.09637254476547241,0.5767627358436584,1.0496703386306763,1.7228057384490967,-0.00033407845,-0.04995127,0.058448993,-0.058080785,-0.23607115,-0.020598374,-0.18421666,0.042388707,0.030169206,-0.03650369,0.049128115,-0.026754318,0.09041266,-0.08622687,0.084681876,0.088676244
austin,2016,0.08380869030952454,0.5649891495704651,0.4578080475330353,1.106605887413025,0.00028058048,-0.053095754,0.023562595,-0.049545564,-0.22800797,0.0084849745,-0.13152325,0.058311608,0.044891898,-0.034178838,0.06736834,0.008417029,0.06013026,-0.09151397,0.111922055,0.096325666
austin,2017,0.08561968803405762,0.5992273688316345,0.5172181725502014,1.2020652294158936,-0.009884021,-0.054277133,0.029505588,-0.047382228,-0.22302693,0.005143076,-0.14062247,0.05786652,0.04145564,-0.03752226,0.067297,0.000621662,0.06541861,-0.10453083,0.106427014,0.08847059
austin,2018,0.07794642448425293,0.5553832054138184,0.7437962293624878,1.377125859260559,0.03276919,-0.051514436,0.0162047,-0.0018520802,-0.19297065,0.01269497,-0.15987375,0.10152679,0.013019361,-0.05603804,0.07534043,-0.004194405,0.0633205,-0.099727735,0.085482255,0.08547775
austin,2019,0.08752778172492981,0.5954025387763977,0.9469398260116577,1.6298701763153076,0.011691949,-0.06775506,0.015737034,-0.012485519,-0.21837446,-0.003529124,-0.18146624,0.06741431,0.01057951,-0.04746655,0.06904758,-0.024559623,0.07128722,-0.09628893,0.08116237,0.092158034
austin,2021,0.1737731397151947,0.7198119759559631,8.190488815307617,9.084074020385742,0.1255212,-0.069546476,0.012943849,-0.028497398,-0.22824028,-0.07243682,-0.33590007,0.18059227,0.013111615,-0.08477842,0.022805676,-0.026098706,0.084812164,0.012314953,0.013755783,0.18428575
austin,2022,0.11069789528846741,0.645698070526123,5.156712055206299,5.913107872009277,0.012107377,-0.063291974,0.060517333,-0.04762318,-0.24611212,-0.045797773,-0.2223068,0.077400185,0.04093043,-0.024060013,0.052934602,-0.03018999,0.100793645,-0.055305395,0.08491502,0.111737594
austin,2023,0.0940377414226532,0.5629767179489136,0.7121772170066833,1.3691916465759277,-0.004666372,-0.054294817,0.048113056,-0.0447639,-0.23249471,-0.01666715,-0.17969373,0.04466643,0.021763667,-0.040259317,0.06116429,-0.025697803,0.08915399,-0.08864708,0.09047263,0.08129859
charlotte,2013,0.09857472777366638,0.5378267765045166,2.233275890350342,2.8696773052215576,0.07645846,-0.028054513,-0.014080457,0.006176211,-0.20218357,0.015625946,-0.15509221,0.14837812,0.10335358,-0.0513897,0.12603948,0.041352168,0.061634757,0.029447868,0.08221815,0.10246098
charlotte,2014,0.07759952545166016,0.5783964395523071,0.29631078243255615,0.9523067474365234,-0.002651278,-0.057399996,-0.0005186349,-0.027921237,-0.2079212,0.03944978,-0.12524883,0.06453204,0.040219747,-0.03582131,0.079366274,0.004333389,0.0491652,-0.07739496,0.10886738,0.088942856
charlotte,2015,0.07879751920700073,0.5987001657485962,0.2140505611896515,0.891548216342926,0.044622116,-0.031045476,0.0030340776,-0.0029578283,-0.19459608,0.019421168,-0.14507392,0.117882356,0.033413876,-0.050614778,0.098372415,0.0120178955,0.04425744,-0.063152805,0.10505254,0.087004706
charlotte,2016,0.08565130829811096,0.49476876854896545,0.1940651684999466,0.7744852304458618,0.056964494,-0.019769397,0.019023277,-0.0196914,-0.20169497,-0.0024841502,-0.16617598,0.13504341,0.03526654,-0.054735553,0.085632876,0.02028194,0.048396587,-0.05096708,0.12156905,0.0870444
charlotte,2017,0.08353361487388611,0.4527081251144409,0.29048267006874084,0.8267244100570679,0.053351745,-0.017125577,0.015500963,-0.00992614,-0.20429005,-0.007123053,-0.16787046,0.12169235,0.028104221,-0.04746148,0.086174674,0.0025114107,0.060917616,-0.051220883,0.11808866,0.08331474
charlotte,2018,0.08323401212692261,0.47048670053482056,0.44914710521698,1.0028678178787231,0.040339086,-0.036610916,0.013961434,-0.030449845,-0.22773898,0.00946939,-0.15200555,0.07960759,0.054715972,-0.04979249,0.07802643,0.011351285,0.061657675,-0.040393144,0.10251555,0.093244344
