metro,year,kl,recon_img_err,recon_econ_err,anomaly_score,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
atlanta,2013,4.056396961212158,0.45584264397621155,0.48855090141296387,5.000790596008301,0.39958596,0.72342634,-0.11177757,0.121549875,1.0764395,-0.37509075,-0.3968939,-0.18732959,-0.8294362,-0.5127323,-0.1657481,0.4347104,0.011936856,1.2232777,0.81081104,0.99724203
atlanta,2014,0.7561984062194824,0.7628289461135864,0.7698724269866943,2.2888998985290527,-0.016288718,0.027045261,-0.20672593,0.19489136,0.32431358,-0.19263303,-0.05802514,-0.080123074,-0.30740064,-0.22163868,-0.12852897,0.18822117,0.12331608,0.38606888,0.35416698,0.24746701
atlanta,2015,0.8997663855552673,0.5430142879486084,0.6237732768058777,2.066554069519043,-0.37599367,-0.55841815,-0.38382563,0.37977773,-0.07137516,-0.21890691,0.20594533,-0.054887734,0.039537273,-0.16438317,-0.18901356,0.19182584,0.31593654,-0.010600112,0.0171201,-0.29869246
atlanta,2016,1.572162389755249,0.26397883892059326,1.1214784383773804,2.9576196670532227,-0.25286135,-0.79918015,-0.4781555,0.46485052,-0.06930901,-0.37755048,0.21745844,0.2127245,0.07909642,-0.39883444,-0.09550169,0.27585807,0.5626056,-0.25965163,-0.15459001,-0.49113747
atlanta,2017,1.494349718093872,0.31549206376075745,0.9495683312416077,2.7594101428985596,-0.36976284,-0.7957995,-0.4433691,0.4167232,-0.2050937,-0.3138411,0.27393547,0.077006035,0.16691962,-0.21430247,-0.14003299,0.2096882,0.4798361,-0.23832017,-0.21175663,-0.5373503
atlanta,2018,1.5435893535614014,0.7249074578285217,0.3245922327041626,2.5930891036987305,-0.7807632,-0.5796273,-0.37607116,0.3348716,-0.31411293,-0.03374975,0.37649947,-0.56674135,0.24660178,0.21813533,-0.39318615,0.1094321,0.15084967,0.2186788,-0.07733844,-0.34153837
atlanta,2019,2.2351512908935547,0.7817096710205078,0.403473436832428,3.4203343391418457,-0.85037196,-0.8393213,-0.62154514,0.5675713,-0.18857083,-0.31594786,0.38783926,-0.41668814,0.20895198,-0.12968111,-0.44983572,0.34295484,0.47731632,0.2559472,-0.061761692,-0.43934882
atlanta,2021,1.8246431350708008,0.6525828838348389,0.5095058679580688,2.986732006072998,-0.6993181,-0.79077977,-0.6043494,0.54678804,-0.13170838,-0.29733342,0.35200408,-0.24449202,0.12052773,-0.113140464,-0.3707387,0.30587253,0.44005594,0.15268886,-0.057516813,-0.40627703
atlanta,2022,2.5929856300354004,0.39734601974487305,0.6475561857223511,3.637887954711914,-0.7621205,-1.0121944,-0.6081015,0.5715212,-0.30068827,-0.3561964,0.45066273,-0.21329013,0.29303277,-0.07523702,-0.38798648,0.29068413,0.55369866,-0.0681963,-0.27850574,-0.673212
atlanta,2023,2.326216459274292,0.47974279522895813,0.46761032938957214,3.2735695838928223,-0.8707551,-0.8621962,-0.6366581,0.5815021,-0.16116616,-0.30313396,0.4099694,-0.405123,0.15549053,-0.065573476,-0.48355561,0.3278459,0.46556142,0.2383089,-0.07922496,-0.43682486
