metro,year,width,height,strict_white_cloud_pct,diffuse_cloud_pct,dark_border_pct,mean_brightness
atlanta,2013,1024,1024,0.03,4.29,18.12,0.1705
atlanta,2014,1024,1024,0.05,7.17,0.00,0.2796
atlanta,2015,1024,1024,0.13,8.88,0.00,0.2450
atlanta,2016,1024,1024,0.04,7.87,0.00,0.2755
atlanta,2017,1024,1024,0.09,12.47,30.69,0.2671
atlanta,2018,1024,1024,0.00,3.36,24.09,0.1507
atlanta,2019,1024,1024,0.09,3.81,0.00,0.2403
atlanta,2020,1024,1024,0.09,3.83,0.00,0.2370
atlanta,2021,1024,1024,0.14,6.35,0.00,0.2151
atlanta,2022,1024,1024,0.01,2.51,19.35,0.1374
atlanta,2023,1024,1024,0.01,8.26,36.29,0.2306
austin,2013,512,512,0.00,2.14,0.00,0.2514
austin,2014,512,512,0.00,1.20,52.29,0.1148
austin,2015,512,512,0.00,0.01,0.00,0.1809
austin,2016,512,512,0.00,0.06,0.00,0.1810
austin,2017,512,512,0.00,0.08,0.00,0.2266
austin,2018,512,512,0.27,27.45,22.99,0.4886
austin,2019,512,512,0.00,3.14,0.00,0.2184
austin,2020,512,512,0.00,0.00,51.59,0.0732
austin,2021,512,512,0.01,2.02,0.00,0.2260
austin,2022,512,512,0.32,25.72,0.00,0.4746
austin,2023,512,512,0.00,1.60,0.00,0.2693
charlotte,2013,512,512,0.07,6.04,0.00,0.2567
charlotte,2014,512,512,0.00,3.33,56.48,0.1287
charlotte,2015,512,512,0.01,3.84,0.00,0.2487
charlotte,2016,512,512,0.00,13.04,0.00,0.3622
charlotte,2017,512,512,0.03,4.39,0.00,0.2175
charlotte,2018,512,512,0.02,7.09,15.86,0.2557
charlotte,2019,512,512,0.00,9.27,6.68,0.3209
charlotte,2020,512,512,0.00,2.04,56.29,0.1187
charlotte,2021,512,512,0.03,10.48,0.00,0.3640
charlotte,2022,512,512,0.11,6.45,0.00,0.1828
charlotte,2023,512,512,0.08,15.98,0.00,0.4092
dallas,2013,512,512,0.02,10.84,0.00,0.3633
dallas,2014,512,512,0.00,2.28,42.26,0.1949
dallas,2015,512,512,0.01,4.02,0.00,0.2894
dallas,2016,512,512,0.00,3.97,0.00,0.2595
dallas,2017,512,512,0.03,2.16,0.00,0.2325
dallas,2018,512,512,0.08,35.01,39.94,0.4327
dallas,2019,512,512,0.00,14.42,0.00,0.4000
dallas,2020,512,512,0.00,0.74,41.62,0.1278
dallas,2021,512,512,0.48,26.28,0.00,0.4602
dallas,2022,512,512,0.81,47.16,0.00,0.5820
dallas,2023,512,512,0.37,27.88,0.00,0.4973
denver,2013,512,512,0.51,9.17,0.00,0.3731
denver,2014,512,512,8.61,50.02,0.00,0.5995
denver,2015,512,512,0.57,6.51,48.66,0.1539
denver,2016,512,512,1.13,10.21,50.48,0.2160
denver,2017,512,512,0.30,13.31,0.01,0.3490
denver,2018,512,512,15.54,57.37,0.00,0.6659
denver,2019,512,512,0.02,6.99,34.97,0.2150
denver,2020,512,512,0.64,15.44,0.00,0.2903
denver,2021,512,512,0.15,9.23,45.83,0.2030
denver,2022,512,512,0.42,14.16,0.00,0.4274
denver,2023,512,512,0.05,1.99,0.00,0.2768
houston,2013,512,512,0.04,2.28,0.00,0.2543
houston,2014,512,512,0.01,1.37,32.61,0.2481
houston,2015,512,512,0.00,0.13,0.00,0.1946
houston,2016,512,512,0.00,0.55,52.12,0.0919
houston,2017,512,512,0.00,0.39,0.01,0.2116
houston,2018,512,512,0.02,5.42,0.00,0.3625
houston,2019,512,512,0.01,3.77,34.83,0.1105
houston,2020,512,512,0.07,31.82,33.25,0.4392
houston,2021,512,512,0.04,36.22,0.00,0.4822
houston,2022,512,512,0.02,2.81,0.00,0.2506
houston,2023,512,512,0.00,2.23,0.00,0.2039
jacksonville,2013,1024,512,0.22,6.74,2.69,0.2098
jacksonville,2014,1024,512,0.01,9.07,23.10,0.1725
jacksonville,2015,1024,512,0.08,8.22,0.00,0.2519
jacksonville,2016,1024,512,0.02,16.91,14.14,0.3445
jacksonville,2017,1024,512,0.10,13.67,0.00,0.2892
jacksonville,2018,1024,512,0.15,8.43,35.18,0.1900
jacksonville,2019,1024,512,0.01,9.31,28.48,0.2164
jacksonville,2020,1024,512,0.03,4.32,23.07,0.1470
jacksonville,2021,1024,512,0.12,8.21,0.00,0.2505
jacksonville,2022,1024,512,0.26,12.51,0.00,0.2920
jacksonville,2023,1024,512,0.08,13.52,0.00,0.2831
las_vegas,2013,1024,512,1.17,43.58,25.07,0.4480
las_vegas,2014,1024,512,8.05,58.47,0.00,0.6400
las_vegas,2015,1024,512,5.88,65.40,0.00,0.7009
las_vegas,2016,1024,512,6.20,77.78,0.00,0.7626
las_vegas,2017,1024,512,0.06,25.61,28.63,0.3808
las_vegas,2018,1024,512,0.43,40.72,33.76,0.4201
las_vegas,2019,1024,512,3.50,59.24,0.00,0.6518
las_vegas,2020,1024,512,1.88,55.92,0.00,0.6318
las_vegas,2021,1024,512,10.05,80.07,0.00,0.7788
las_vegas,2022,1024,512,0.66,47.05,24.79,0.4498
las_vegas,2023,1024,512,5.90,55.93,36.60,0.5466
nashville,2013,512,512,0.00,3.14,43.23,0.1540
nashville,2014,512,512,0.18,13.42,0.00,0.3775
nashville,2015,512,512,0.03,2.67,0.00,0.1634
nashville,2016,512,512,0.02,4.62,0.00,0.2108
nashville,2017,512,512,0.15,24.99,42.18,0.3317
nashville,2018,512,512,0.00,3.39,0.00,0.2075
nashville,2019,512,512,0.02,2.74,0.00,0.2354
nashville,2020,512,512,0.30,7.70,0.00,0.3162
nashville,2021,512,512,0.03,3.34,0.00,0.1850
nashville,2022,512,512,0.00,0.57,52.10,0.0625
nashville,2023,512,512,0.00,2.73,53.24,0.1170
orlando,2013,512,512,0.17,2.79,0.00,0.1554
orlando,2014,512,512,0.01,10.13,51.19,0.1507
orlando,2015,512,512,0.02,10.40,0.00,0.2781
orlando,2016,512,512,0.00,18.37,21.17,0.3549
orlando,2017,512,512,0.12,12.70,0.00,0.3010
orlando,2018,512,512,0.24,11.48,0.00,0.2515
orlando,2019,512,512,0.00,8.38,42.69,0.1845
orlando,2020,512,512,0.03,1.66,49.84,0.0836
orlando,2021,512,512,0.01,3.54,0.00,0.2114
orlando,2022,512,512,0.32,5.97,0.00,0.2263
orlando,2023,512,512,0.07,14.06,0.00,0.3078
phoenix,2013,512,1024,2.97,58.05,0.00,0.6491
phoenix,2014,512,1024,0.05,10.85,38.48,0.1718
phoenix,2015,512,1024,9.04,79.16,0.00,0.7622
phoenix,2016,512,1024,2.10,61.09,0.00,0.6823
phoenix,2017,512,1024,3.86,54.82,0.00,0.6023
phoenix,2018,512,1024,4.04,83.91,12.05,0.7794
phoenix,2019,512,1024,0.45,60.68,23.36,0.6303
phoenix,2020,512,1024,0.01,17.40,39.27,0.2008
phoenix,2021,512,1024,0.60,57.57,0.00,0.6194
phoenix,2022,512,1024,7.98,65.27,0.00,0.6926
phoenix,2023,512,1024,1.20,52.40,0.00,0.6019
raleigh,2013,1024,512,0.05,5.37,0.00,0.2393
raleigh,2014,1024,512,0.00,31.91,24.52,0.3684
raleigh,2015,1024,512,0.00,5.38,6.61,0.2764
raleigh,2016,1024,512,0.00,9.63,37.77,0.2649
raleigh,2017,1024,512,0.03,13.92,0.00,0.3372
raleigh,2018,1024,512,0.03,5.42,10.57,0.2307
raleigh,2019,1024,512,0.00,5.51,24.56,0.2022
raleigh,2020,1024,512,0.00,15.23,24.58,0.2567
raleigh,2021,1024,512,0.02,13.55,1.18,0.4158
raleigh,2022,1024,512,0.07,4.47,0.00,0.1898
raleigh,2023,1024,512,0.39,30.56,0.00,0.4844
san_antonio,2013,1024,512,0.00,2.35,30.86,0.2046
san_antonio,2014,1024,512,0.00,2.39,34.86,0.1719
san_antonio,2015,1024,512,0.00,0.01,0.00,0.1612
san_antonio,2016,1024,512,0.00,0.08,0.00,0.1548
san_antonio,2017,1024,512,0.00,0.04,0.00,0.1996
san_antonio,2018,1024,512,0.13,17.33,23.21,0.3162
san_antonio,2019,1024,512,0.00,1.64,0.00,0.1759
san_antonio,2020,1024,512,0.00,0.00,34.40,0.0932
san_antonio,2021,1024,512,0.03,3.19,0.00,0.2752
san_antonio,2022,1024,512,0.16,17.94,18.29,0.3984
san_antonio,2023,1024,512,0.00,2.07,0.00,0.2616
tampa,2013,512,512,0.13,6.31,0.00,0.2037
tampa,2014,512,512,0.00,6.72,36.69,0.1683
tampa,2015,512,512,0.31,16.81,0.00,0.3192
tampa,2016,512,512,0.10,17.61,0.00,0.3414
tampa,2017,512,512,0.10,8.67,0.00,0.2264
tampa,2018,512,512,0.06,11.47,39.95,0.2466
tampa,2019,512,512,0.01,7.37,0.01,0.1994
tampa,2020,512,512,0.00,9.57,36.11,0.2355
tampa,2021,512,512,0.07,5.25,0.00,0.1981
tampa,2022,512,512,0.15,30.42,0.00,0.4340
tampa,2023,512,512,0.02,8.78,0.00,0.2302
