metro,year,date,status,strict_white_cloud_pct,diffuse_cloud_pct,dark_or_empty_pct,mean_brightness
phoenix,2013,2013-07-01,ok,11.36,75.66,0.00,0.7535
phoenix,2013,2013-07-15,ok,0.18,59.64,8.07,0.6211
phoenix,2013,2013-08-01,ok,2.97,58.05,0.00,0.6491
phoenix,2013,2013-08-15,ok,13.74,87.58,0.00,0.8288
phoenix,2013,2013-09-01,ok,0.16,27.52,9.37,0.4443
phoenix,2014,2014-07-01,ok,5.09,84.96,0.00,0.7921
phoenix,2014,2014-07-15,ok,1.17,39.71,0.00,0.5377
phoenix,2014,2014-08-01,ok,0.05,10.85,68.18,0.1718
phoenix,2014,2014-08-15,ok,0.85,58.11,30.79,0.5389
phoenix,2014,2014-09-01,ok,0.54,15.84,0.00,0.3533
phoenix,2015,2015-07-01,ok,3.56,51.01,27.51,0.5226
phoenix,2015,2015-07-15,ok,0.31,30.87,0.00,0.4361
phoenix,2015,2015-08-01,ok,9.03,79.16,0.00,0.7623
phoenix,2015,2015-08-15,ok,0.49,55.27,0.00,0.6572
phoenix,2015,2015-09-01,ok,1.12,51.16,0.00,0.6206
phoenix,2016,2016-07-01,ok,9.29,82.61,0.00,0.7832
phoenix,2016,2016-07-15,ok,1.30,53.50,0.00,0.6239
phoenix,2016,2016-08-01,ok,2.11,61.09,0.00,0.6823
phoenix,2016,2016-08-15,ok,0.01,11.17,41.00,0.2538
phoenix,2016,2016-09-01,ok,0.96,86.11,0.00,0.7864
phoenix,2017,2017-07-01,ok,5.45,45.65,38.25,0.4584
phoenix,2017,2017-07-15,ok,0.18,20.67,64.02,0.2285
phoenix,2017,2017-08-01,ok,3.85,54.82,0.00,0.6023
phoenix,2017,2017-08-15,ok,9.77,50.51,0.00,0.6117
phoenix,2017,2017-09-01,ok,2.84,18.14,62.82,0.2302
phoenix,2018,2018-07-01,ok,0.59,53.88,0.00,0.5856
phoenix,2018,2018-07-15,ok,0.15,19.79,0.00,0.4215
phoenix,2018,2018-08-01,ok,4.04,83.91,2.08,0.7794
phoenix,2018,2018-08-15,ok,3.81,36.43,0.00,0.4767
phoenix,2018,2018-09-01,ok,1.06,15.93,0.01,0.3924
phoenix,2019,2019-07-01,ok,4.81,90.17,0.00,0.8296
phoenix,2019,2019-07-15,ok,2.14,49.69,0.00,0.6027
phoenix,2019,2019-08-01,ok,0.45,60.68,7.48,0.6303
phoenix,2019,2019-08-15,ok,2.73,22.54,67.81,0.2424
phoenix,2019,2019-09-01,ok,2.25,33.25,0.00,0.4712
phoenix,2020,2020-07-01,ok,12.79,68.20,0.00,0.7183
phoenix,2020,2020-07-15,ok,4.86,51.42,0.00,0.6153
phoenix,2020,2020-08-01,ok,0.01,17.40,67.45,0.2008
phoenix,2020,2020-08-15,ok,0.08,21.41,33.28,0.3451
phoenix,2020,2020-09-01,ok,4.65,27.56,0.00,0.4306
phoenix,2021,2021-07-01,ok,2.69,60.09,33.00,0.5638
phoenix,2021,2021-07-15,ok,4.43,72.55,0.00,0.7258
phoenix,2021,2021-08-01,ok,0.60,57.57,0.00,0.6194
phoenix,2021,2021-08-15,ok,0.12,63.97,0.00,0.6842
phoenix,2021,2021-09-01,ok,0.21,62.98,0.00,0.6656
phoenix,2022,2022-07-01,ok,5.24,66.86,0.00,0.7010
phoenix,2022,2022-07-15,ok,0.00,17.12,39.37,0.2679
phoenix,2022,2022-08-01,ok,7.98,65.27,0.00,0.6926
phoenix,2022,2022-08-15,ok,0.10,22.87,0.00,0.4330
phoenix,2022,2022-09-01,ok,0.01,17.24,40.87,0.3185
phoenix,2023,2023-07-01,ok,3.45,46.41,0.00,0.5238
phoenix,2023,2023-07-15,ok,11.37,85.68,7.90,0.7816
phoenix,2023,2023-08-01,ok,1.20,52.41,0.00,0.6019
phoenix,2023,2023-08-15,ok,0.90,66.91,0.00,0.6799
phoenix,2023,2023-09-01,ok,0.16,6.65,0.00,0.2694
las_vegas,2013,2013-07-01,ok,2.81,63.87,0.00,0.6688
