metro,year,selected_date,selected_quality_flag,selected_missing_tiles,selected_core_diffuse_cloud_pct,selected_diffuse_cloud_pct,selected_core_strict_white_cloud_pct,selected_strict_white_cloud_pct,selected_core_dark_or_empty_pct,selected_dark_or_empty_pct,baseline_08_01_date,baseline_08_01_missing_tiles,baseline_08_01_core_diffuse_cloud_pct,baseline_08_01_diffuse_cloud_pct,baseline_08_01_dark_or_empty_pct,improvement_vs_08_01
atlanta,2013,2013-07-15,clean,0,0.14,0.95,0.00,0.07,0.00,0.00,2013-08-01,0,0.54,3.10,36.78,2.15
atlanta,2014,2014-05-15,clean,0,0.47,2.58,0.01,0.05,0.00,0.00,2014-08-01,0,2.42,4.09,0.00,1.51
atlanta,2015,2015-08-01,clean,0,3.32,6.00,0.04,0.13,0.00,0.00,2015-08-01,0,3.32,6.00,0.00,0.00
atlanta,2016,2016-08-15,clean,0,0.33,1.59,0.00,0.01,0.00,0.00,2016-08-01,0,4.86,5.27,0.00,3.68
atlanta,2017,2017-07-01,clean,0,0.17,1.15,0.00,0.01,0.00,0.00,2017-08-01,0,8.29,7.08,11.79,5.93
atlanta,2018,2018-06-15,clean,0,0.29,11.49,0.01,1.23,0.00,0.00,2018-08-01,0,0.77,2.03,36.02,-9.46
atlanta,2019,2019-08-01,clean,0,0.89,2.56,0.01,0.09,0.00,0.00,2019-08-01,0,0.89,2.56,0.00,0.00
atlanta,2020,2020-08-01,clean,0,1.26,2.54,0.00,0.09,0.00,0.00,2020-08-01,0,1.26,2.54,0.00,0.00
atlanta,2021,2021-08-01,clean,0,2.65,4.38,0.08,0.14,0.00,0.00,2021-08-01,0,2.65,4.38,0.00,0.00
atlanta,2022,2022-07-01,clean,0,0.27,1.60,0.00,0.03,0.00,0.00,2022-08-01,0,1.23,1.56,36.95,-0.04
atlanta,2023,2023-06-15,clean,0,1.17,4.05,0.02,0.10,0.00,0.00,2023-08-01,0,7.14,4.45,22.88,0.40
austin,2013,2013-08-01,clean,0,0.01,1.39,0.00,0.00,0.00,0.00,2013-08-01,0,0.01,1.39,0.00,0.00
austin,2014,2014-05-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2014-08-01,0,0.21,0.61,54.60,0.61
austin,2015,2015-07-15,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2015-08-01,0,0.00,0.01,0.00,0.01
austin,2016,2016-08-01,clean,0,0.00,0.05,0.00,0.00,0.00,0.00,2016-08-01,0,0.00,0.05,0.00,0.00
austin,2017,2017-08-01,clean,0,0.00,0.05,0.00,0.00,0.00,0.00,2017-08-01,0,0.00,0.05,0.00,0.00
austin,2018,2018-06-01,clean,0,0.02,0.17,0.00,0.00,0.00,0.00,2018-08-01,0,17.59,22.42,7.19,22.25
austin,2019,2019-07-01,clean,0,0.00,0.01,0.00,0.00,0.00,0.00,2019-08-01,0,0.17,1.85,0.00,1.84
austin,2020,2020-06-15,clean,0,0.00,0.01,0.00,0.00,0.00,0.00,2020-08-01,0,0.00,0.00,53.23,-0.01
austin,2021,2021-07-15,clean,0,0.07,4.07,0.00,0.05,0.00,0.00,2021-08-01,0,0.45,1.28,0.00,-2.79
austin,2022,2022-08-15,clean,0,0.00,0.10,0.00,0.00,0.00,0.00,2022-08-01,0,22.29,18.81,0.00,18.71
austin,2023,2023-08-15,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-01,0,0.02,0.89,0.00,0.89
boston,2013,2013-04-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2013-08-01,0,2.43,11.90,0.00,11.90
boston,2014,2014-07-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2014-08-01,0,0.00,1.62,0.00,1.62
boston,2015,2015-04-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2015-08-01,0,4.43,3.70,34.27,3.70
boston,2016,2016-08-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2016-08-01,0,0.00,0.00,0.00,0.00
boston,2017,2017-04-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2017-08-01,0,0.03,0.88,14.56,0.88
boston,2018,2018-04-15,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2018-08-01,0,6.49,19.67,0.00,19.67
boston,2019,2019-09-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2019-08-01,0,29.62,31.43,0.00,31.43
boston,2020,2020-06-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2020-08-01,0,0.00,4.01,0.00,4.01
boston,2021,2021-04-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2021-08-01,0,40.10,28.36,40.13,28.36
boston,2022,2022-05-15,clean,0,0.00,0.92,0.00,0.00,0.00,0.00,2022-08-01,0,64.28,67.79,0.00,66.87
boston,2023,2023-05-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-01,0,3.29,1.47,3.03,1.47
charlotte,2013,2013-09-01,clean,0,0.84,2.49,0.00,0.00,0.00,1.65,2013-08-01,0,1.26,4.01,0.00,1.52
charlotte,2014,2014-09-15,clean,0,0.54,1.09,0.00,0.01,0.00,0.00,2014-08-01,0,0.04,1.05,63.94,-0.04
charlotte,2015,2015-08-01,clean,0,0.48,2.27,0.00,0.01,0.00,0.00,2015-08-01,0,0.48,2.27,0.00,0.00
charlotte,2016,2016-09-01,clean,0,0.02,0.38,0.00,0.00,0.00,0.00,2016-08-01,0,1.86,7.26,0.00,6.88
charlotte,2017,2017-08-01,clean,0,0.44,2.15,0.01,0.03,0.00,0.00,2017-08-01,0,0.44,2.15,0.00,0.00
charlotte,2018,2018-06-15,clean,0,0.38,0.99,0.00,0.01,0.00,0.00,2018-08-01,0,0.87,4.34,3.23,3.35
charlotte,2019,2019-10-15,clean,0,0.68,2.87,0.00,0.00,0.00,0.00,2019-08-01,0,1.61,4.83,0.68,1.96
charlotte,2020,2020-10-01,clean,0,1.01,2.47,0.00,0.01,0.00,0.00,2020-08-01,0,0.76,0.94,62.62,-1.53
charlotte,2021,2021-07-15,clean,0,0.66,1.88,0.01,0.02,0.00,0.00,2021-08-01,0,2.11,5.58,0.00,3.70
charlotte,2022,2022-06-15,clean,0,0.00,0.08,0.00,0.00,0.00,0.00,2022-08-01,0,4.11,4.66,0.00,4.58
charlotte,2023,2023-04-01,clean,0,0.95,2.02,0.01,0.06,0.00,0.00,2023-08-01,0,8.85,9.10,0.00,7.08
chicago,2013,2013-10-15,clean,0,0.36,1.61,0.01,0.06,0.00,0.00,2013-08-01,0,2.41,7.71,0.00,6.10
chicago,2014,2014-10-15,clean,0,4.30,4.85,0.07,0.06,0.00,2.64,2014-08-01,0,26.41,26.50,0.00,21.65
