metro,year,selected_date,selected_quality_flag,baseline_08_01_date,baseline_08_01_core_diffuse_cloud_pct,baseline_08_01_diffuse_cloud_pct,selected_core_diffuse_cloud_pct,selected_diffuse_cloud_pct,selected_core_dark_or_empty_pct,selected_dark_or_empty_pct,status,requested_tiles,fetched_tiles,missing_tiles,width,height,actual_core_diffuse_cloud_pct,actual_diffuse_cloud_pct,actual_core_dark_or_empty_pct,actual_dark_or_empty_pct,actual_core_mean_brightness,actual_mean_brightness,output_path,refreshed_at_utc
atlanta,2013,2013-07-15,clean,2013-08-01,0.54,3.10,0.14,0.95,0.00,0.00,written,4,4,0,1024,1024,0.14,0.95,0.00,0.00,0.1678,0.1671,data/imagery/atlanta/modis_rgb/2013.tif,2026-05-06T04:33:48.402592+00:00
atlanta,2014,2014-05-15,clean,2014-08-01,2.42,4.09,0.47,2.58,0.00,0.00,written,4,4,0,1024,1024,0.47,2.58,0.00,0.00,0.1783,0.1920,data/imagery/atlanta/modis_rgb/2014.tif,2026-05-06T04:33:49.956735+00:00
atlanta,2015,2015-08-01,clean,2015-08-01,3.32,6.00,3.32,6.00,0.00,0.00,written,4,4,0,1024,1024,3.32,6.00,0.00,0.00,0.1858,0.2450,data/imagery/atlanta/modis_rgb/2015.tif,2026-05-06T04:33:51.379665+00:00
atlanta,2016,2016-08-15,clean,2016-08-01,4.86,5.27,0.33,1.59,0.00,0.00,written,4,4,0,1024,1024,0.33,1.59,0.00,0.00,0.2475,0.2653,data/imagery/atlanta/modis_rgb/2016.tif,2026-05-06T04:33:52.852840+00:00
atlanta,2017,2017-07-01,clean,2017-08-01,8.29,7.08,0.17,1.15,0.00,0.00,written,4,4,0,1024,1024,0.17,1.15,0.00,0.00,0.1589,0.1863,data/imagery/atlanta/modis_rgb/2017.tif,2026-05-06T04:33:54.524485+00:00
atlanta,2018,2018-06-15,clean,2018-08-01,0.77,2.03,0.29,11.49,0.00,0.00,written,4,4,0,1024,1024,0.29,11.49,0.00,0.00,0.1380,0.2663,data/imagery/atlanta/modis_rgb/2018.tif,2026-05-06T04:33:55.995801+00:00
atlanta,2019,2019-08-01,clean,2019-08-01,0.89,2.56,0.89,2.56,0.00,0.00,written,4,4,0,1024,1024,0.89,2.56,0.00,0.00,0.2309,0.2403,data/imagery/atlanta/modis_rgb/2019.tif,2026-05-06T04:33:57.399722+00:00
atlanta,2020,2020-08-01,clean,2020-08-01,1.26,2.54,1.26,2.54,0.00,0.00,written,4,4,0,1024,1024,1.26,2.54,0.00,0.00,0.2176,0.2370,data/imagery/atlanta/modis_rgb/2020.tif,2026-05-06T04:33:58.789913+00:00
atlanta,2021,2021-08-01,clean,2021-08-01,2.65,4.38,2.65,4.38,0.00,0.00,written,4,4,0,1024,1024,2.65,4.38,0.00,0.00,0.1650,0.2151,data/imagery/atlanta/modis_rgb/2021.tif,2026-05-06T04:34:00.264153+00:00
atlanta,2022,2022-07-01,clean,2022-08-01,1.23,1.56,0.27,1.60,0.00,0.00,written,4,4,0,1024,1024,0.27,1.60,0.00,0.00,0.1623,0.2001,data/imagery/atlanta/modis_rgb/2022.tif,2026-05-06T04:34:01.767517+00:00
