model,metric,k,scaled,val_mae,test_mae
Scaled Manhattan k=3,manhattan,3,True,0.997935116214892,2.400002516172304
Scaled Euclidean k=5,euclidean,5,True,1.0019045516954124,2.425559018262695
Cosine k=5,cosine,5,False,1.009735097394024,2.4844748066611957
Scaled Euclidean k=8,euclidean,8,True,1.0266145917982363,2.420704328958011
Scaled Manhattan k=5,manhattan,5,True,1.0351237946822462,2.400642228190288
Scaled Euclidean k=3,euclidean,3,True,1.0743993081536765,2.453470885438454
Scaled Manhattan k=8,manhattan,8,True,1.132006711032316,2.4303979689590185
Cosine k=3,cosine,3,False,1.1633700839348526,2.4688461910294377
Cosine k=2,cosine,2,False,1.1670918260684426,2.4207156445161973
Cosine k=1,cosine,1,False,1.2974309634385581,2.4278143645199677
